model,referecne,metric,value
growth_rate_simulated_ic_1306,is_essential_file_can_grow,Precision,0.9195402298850575
growth_rate_simulated_ic_1306,is_essential_file_can_grow,Recall,0.9523809523809523
growth_rate_simulated_ic_1306,is_essential_file_can_grow,F1 Score,0.935672514619883
growth_rate_simulated_ic_1306,is_essential_file_can_grow,Specificity,0.05747126436781609
growth_rate_simulated_ic_1306,growth_rate_file_1,Accuracy,0.8842105263157894
growth_rate_simulated_ic_1306,growth_rate_file_1,Precision,0.9186046511627907
growth_rate_simulated_ic_1306,growth_rate_file_1,Recall,0.9518072289156626
growth_rate_simulated_ic_1306,growth_rate_file_1,F1 Score,0.9349112426035502
growth_rate_simulated_ic_1306,growth_rate_file_1,Specificity,0.05813953488372093
growth_rate_simulated_ic_1306,growth_rate_file_2,Accuracy,0.9625
growth_rate_simulated_ic_1306,growth_rate_file_2,Precision,1.0
growth_rate_simulated_ic_1306,growth_rate_file_2,Recall,0.9625
growth_rate_simulated_ic_1306,growth_rate_file_2,F1 Score,0.980891719745223
growth_rate_simulated_ic_1306,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iE2348C_1286,is_essential_file_can_grow,Accuracy,0.825
growth_rate_simulated_iE2348C_1286,is_essential_file_can_grow,Precision,0.8873239436619719
growth_rate_simulated_iE2348C_1286,is_essential_file_can_grow,Recall,0.9130434782608695
growth_rate_simulated_iE2348C_1286,is_essential_file_can_grow,F1 Score,0.9
growth_rate_simulated_iE2348C_1286,is_essential_file_can_grow,Specificity,0.04225352112676056
growth_rate_simulated_iE2348C_1286,growth_rate_file_1,Accuracy,0.8157894736842105
growth_rate_simulated_iE2348C_1286,growth_rate_file_1,Precision,0.8805970149253731
growth_rate_simulated_iE2348C_1286,growth_rate_file_1,Recall,0.9076923076923077
growth_rate_simulated_iE2348C_1286,growth_rate_file_1,F1 Score,0.8939393939393939
growth_rate_simulated_iE2348C_1286,growth_rate_file_1,Specificity,0.04477611940298507
growth_rate_simulated_iE2348C_1286,growth_rate_file_2,Accuracy,0.9242424242424242
growth_rate_simulated_iE2348C_1286,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iE2348C_1286,growth_rate_file_2,Recall,0.9242424242424242
growth_rate_simulated_iE2348C_1286,growth_rate_file_2,F1 Score,0.9606299212598425
growth_rate_simulated_iE2348C_1286,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEC042_1314,is_essential_file_can_grow,Accuracy,0.8521190261496844
growth_rate_simulated_iEC042_1314,is_essential_file_can_grow,Precision,0.9077868852459017
growth_rate_simulated_iEC042_1314,is_essential_file_can_grow,Recall,0.9229166666666667
growth_rate_simulated_iEC042_1314,is_essential_file_can_grow,F1 Score,0.9152892561983472
growth_rate_simulated_iEC042_1314,is_essential_file_can_grow,Specificity,0.060450819672131145
growth_rate_simulated_iEC042_1314,growth_rate_file_1,Accuracy,0.8578947368421053
growth_rate_simulated_iEC042_1314,growth_rate_file_1,Precision,0.9203187250996016
growth_rate_simulated_iEC042_1314,growth_rate_file_1,Recall,0.9184890656063618
growth_rate_simulated_iEC042_1314,growth_rate_file_1,F1 Score,0.9194029850746267
growth_rate_simulated_iEC042_1314,growth_rate_file_1,Specificity,0.053784860557768925
growth_rate_simulated_iEC042_1314,growth_rate_file_2,Accuracy,0.9274028629856851
growth_rate_simulated_iEC042_1314,growth_rate_file_2,Precision,1.0
