Name,reference,Accuracy,Precision,Recall,F1 Score,Specificity
adiA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
adiA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
adiA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
adiC,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
adiC,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
adiC,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
adk,is_essential_file_can_grow,0.0,0.0,,,0.0
adk,growth_rate_file_1,0.0,0.0,,,0.0
aes,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aes,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aes,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agaA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agaA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agaA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agaB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agaB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agaB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agaC,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agaC,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agaC,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agaD,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agaD,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agaD,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agaI,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agaI,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agaI,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agaV,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agaV,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agaV,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agaW,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agaW,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agaW,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
agp,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
agp,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
agp,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ahpC,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ahpC,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ahpC,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ahpF,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ahpF,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ahpF,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ahr,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ahr,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alaA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alaA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alaC,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alaC,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alaE,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
alaE,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
alaS,is_essential_file_can_grow,0.0,0.0,,,0.0
alaS,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
alaS,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aldA,is_essential_file_can_grow,0.4411764705882353,1.0,0.4411764705882353,0.6122448979591837,0.0
aldA,growth_rate_file_1,0.4411764705882353,1.0,0.4411764705882353,0.6122448979591837,0.0
aldA,growth_rate_file_2,0.4411764705882353,1.0,0.4411764705882353,0.6122448979591837,0.0
aldB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aldB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aldB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
allA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
allA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
allA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
allB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
